Experiment,Mean_Return,CI_95,p_value_vs_IPPO,Mean_Payload_Cost,Shield_Rate,N_Agents,N_Blocks,Timesteps,Seeds
FP3O_Safety_True,5.09,26.14,0.2846,45244.7,0.0,4,16,2000897,5
IPPO_Safety_True,16.71,0.0,,38335.2,0.0,4,16,2000897,5
MAPPO_Safety_True,16.71,0.0,0.0791,38336.5,0.0,4,16,2000897,5
FP3O_Blind_Safety_True,16.71,0.0,0.7994,38335.2,0.0,4,16,2000897,5
IPPO_Blind_Safety_True,16.71,0.0,0.405,38334.7,0.0,4,16,2000897,5
IPPO_Blind_Coupled_Safety_True,-175.7,794.52,0.2,122177.6,0.4073,4,16,100353,2
FP3O_Blind_Coupled_Safety_True,-238.45,3.38,0.0007,137751.2,0.8089,4,16,100353,2
IPPO_Coupled_Safety_True,-241.85,17.77,0.0034,138444.4,0.8108,4,16,100353,2
FP3O_Coupled_Safety_True,-94.67,679.93,0.2851,109936.9,0.0571,4,16,100353,2
MAPPO_Coupled_Safety_True,-176.94,810.18,0.2025,122119.5,0.4083,4,16,100353,2
